IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
138.3.254.39,443,true,FRA,Europe,Frankfurt,250 ms,4888 kB/s
143.47.191.251,443,true,FRA,Europe,Frankfurt,253 ms,4742 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,240 ms,4293 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,254 ms,3074 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,181 ms,2953 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,238 ms,2889 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,292 ms,2653 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,297 ms,2485 kB/s
129.146.137.89,2096,true,LAX,North America,Los Angeles,241 ms,2335 kB/s
141.147.108.46,443,true,FRA,Europe,Frankfurt,240 ms,2219 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,246 ms,2204 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,291 ms,2073 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,295 ms,2015 kB/s
158.101.218.204,443,true,FRA,Europe,Frankfurt,245 ms,1999 kB/s
143.47.243.144,2053,true,LHR,Europe,London,243 ms,1945 kB/s
144.21.43.93,443,true,FRA,Europe,Frankfurt,243 ms,1878 kB/s
89.168.118.76,443,true,FRA,Europe,Frankfurt,279 ms,1838 kB/s
150.136.121.64,80,true,IAD,North America,Ashburn,251 ms,1832 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,289 ms,1772 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,241 ms,1737 kB/s
141.147.72.105,443,true,FRA,Europe,Frankfurt,246 ms,1721 kB/s
158.101.214.60,443,true,FRA,Europe,Frankfurt,248 ms,1455 kB/s
84.235.172.19,443,true,FRA,Europe,Frankfurt,238 ms,1371 kB/s
204.216.105.106,8443,true,YYZ,North America,Toronto,269 ms,1369 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,299 ms,1113 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,291 ms,1111 kB/s
144.21.51.110,443,true,LHR,Europe,London,242 ms,1091 kB/s
158.179.203.23,443,true,OSL,Europe,Oslo,266 ms,1014 kB/s
84.235.171.34,443,true,FRA,Europe,Frankfurt,243 ms,794 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,334 ms,662 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,244 ms,553 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,292 ms,489 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,191 ms,416 kB/s
143.47.243.144,8443,true,LHR,Europe,London,250 ms,402 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,346 ms,380 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,301 ms,368 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,292 ms,300 kB/s
132.145.54.84,8443,true,LHR,Europe,London,237 ms,269 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,237 ms,268 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,300 ms,240 kB/s
129.146.242.24,2053,true,LAX,North America,Los Angeles,254 ms,214 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,255 ms,211 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,303 ms,188 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,279 ms,134 kB/s
150.136.61.148,443,true,IAD,North America,Ashburn,274 ms,131 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,299 ms,115 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,254 ms,112 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,265 ms,109 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,238 ms,102 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,260 ms,92 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,276 ms,89 kB/s
132.145.54.84,2053,true,LHR,Europe,London,255 ms,77 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,287 ms,73 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,287 ms,73 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,302 ms,61 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,250 ms,57 kB/s
144.24.83.39,443,true,ICN,Asia Pacific,Seoul,141 ms,57 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,235 ms,51 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,245 ms,26 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,334 ms,25 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,247 ms,21 kB/s
152.67.249.123,443,true,SJC,North America,San Jose,173 ms,0 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,291 ms,0 kB/s
150.230.249.48,443,true,ICN,Asia Pacific,Seoul,136 ms,0 kB/s
130.162.140.215,443,true,NRT,Asia Pacific,Tokyo,108 ms,0 kB/s
150.230.122.76,443,true,LHR,Europe,London,232 ms,0 kB/s
168.138.215.251,443,true,NRT,Asia Pacific,Tokyo,176 ms,0 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,244 ms,0 kB/s
152.70.190.203,443,true,FRA,Europe,Frankfurt,282 ms,0 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,294 ms,0 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,270 ms,0 kB/s
129.146.7.98,443,true,LAX,North America,Los Angeles,272 ms,0 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,263 ms,0 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,153 ms,0 kB/s
132.226.1.227,443,true,NRT,Asia Pacific,Tokyo,145 ms,0 kB/s
