IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.198.34,2095,2095,false,SIN,Asia Pacific,Singapore,30,8.77
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,17,8.75
8.219.193.202,2086,2086,false,SIN,Asia Pacific,Singapore,19,8.75
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,18,8.74
47.243.169.63,2083,2083,true,HKG,Asia Pacific,Hong Kong,97,8.74
8.222.150.197,8080,8080,false,SIN,Asia Pacific,Singapore,28,8.73
8.222.165.117,8443,8443,true,SIN,Asia Pacific,Singapore,70,8.73
47.76.204.76,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,8.73
8.219.193.202,8880,8880,false,SIN,Asia Pacific,Singapore,9,8.72
8.219.229.190,2086,2086,false,SIN,Asia Pacific,Singapore,70,8.72
47.236.75.113,2087,2087,true,SIN,Asia Pacific,Singapore,75,8.72
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,70,8.72
8.217.159.210,2096,2096,true,HKG,Asia Pacific,Hong Kong,52,8.71
47.243.91.58,80,80,false,HKG,Asia Pacific,Hong Kong,75,8.70
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,57,8.70
8.222.180.86,2082,2082,false,SIN,Asia Pacific,Singapore,18,8.70
47.236.166.131,8443,8443,true,SIN,Asia Pacific,Singapore,119,8.69
8.219.93.5,2053,2053,true,SIN,Asia Pacific,Singapore,55,8.69
47.236.144.156,2053,2053,true,SIN,Asia Pacific,Singapore,98,8.68
47.236.171.205,2087,2087,true,SIN,Asia Pacific,Singapore,56,8.67
8.219.5.10,2052,2052,false,SIN,Asia Pacific,Singapore,2,8.66
47.236.144.208,2053,2053,true,SIN,Asia Pacific,Singapore,113,8.66
8.219.199.220,2087,2087,true,SIN,Asia Pacific,Singapore,109,8.66
47.242.79.71,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,8.66
8.219.132.64,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.66
8.219.198.139,8443,8443,true,SIN,Asia Pacific,Singapore,82,8.66
8.219.210.57,80,80,false,SIN,Asia Pacific,Singapore,42,8.66
47.237.84.173,2086,2086,false,SIN,Asia Pacific,Singapore,18,8.66
8.222.164.209,80,80,false,SIN,Asia Pacific,Singapore,8,8.65
