IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.129.41.13,19913,443,true,HKG,Asia Pacific,Hong Kong,63,24.93
47.238.40.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,6,24.48
156.251.180.181,21698,443,true,HKG,Asia Pacific,Hong Kong,60,24.06
47.76.192.24,2082,2082,false,HKG,Asia Pacific,Hong Kong,7,20.49
47.76.192.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,8,18.38
183.232.159.172,2052,2086,false,SJC,North America,San Jose,0,17.51
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,8,13.47
47.76.203.101,8443,8443,true,HKG,Asia Pacific,Hong Kong,4,13.01
47.76.203.101,80,80,false,HKG,Asia Pacific,Hong Kong,33,12.73
47.238.6.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,12.49
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,38,11.05
47.76.222.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,8,8.56
47.238.5.0,8443,8443,true,HKG,Asia Pacific,Hong Kong,7,8.14
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,33,7.84
47.76.37.57,2082,2082,false,HKG,Asia Pacific,Hong Kong,7,6.94
47.238.6.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,6.87
47.76.192.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,5.90
156.251.176.216,45848,443,true,HKG,Asia Pacific,Hong Kong,6,4.94
47.76.203.101,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,4.86
103.20.223.16,50048,443,true,HKG,Asia Pacific,Hong Kong,59,4.84
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,7,4.71
47.76.222.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,7,4.21
47.76.37.57,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,4.11
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,8,3.82
47.76.146.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,7,3.62
47.76.62.62,8443,443,true,HKG,Asia Pacific,Hong Kong,38,3.23
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,2.81
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,7,2.76
47.238.5.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,2.75
47.239.52.57,8443,443,true,HKG,Asia Pacific,Hong Kong,0,2.65
103.20.222.236,34651,443,true,HKG,Asia Pacific,Hong Kong,7,2.49
47.76.218.163,443,443,true,HKG,Asia Pacific,Hong Kong,8,2.03
47.76.37.57,2095,2095,false,HKG,Asia Pacific,Hong Kong,0,2.02
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,36,1.98
47.76.204.76,2052,2052,false,HKG,Asia Pacific,Hong Kong,0,1.86
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,2,1.49
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,1.41
103.115.40.133,36332,443,true,HKG,Asia Pacific,Hong Kong,7,1.37
154.88.25.179,28985,443,true,HKG,Asia Pacific,Hong Kong,7,1.18
47.76.204.76,2095,2095,false,HKG,Asia Pacific,Hong Kong,7,0.92
47.76.32.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,10,0.72
47.76.37.57,8080,8080,false,HKG,Asia Pacific,Hong Kong,7,0.53
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,8,0.52
47.243.86.79,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,0.25
47.243.86.79,80,80,false,HKG,Asia Pacific,Hong Kong,41,0.11
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,34,0.11
47.243.86.79,2082,2082,false,HKG,Asia Pacific,Hong Kong,7,0.08
172.93.165.228,443,443,true,HKG,Asia Pacific,Hong Kong,6,0.07
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,3,0.05
47.243.70.186,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,0.05
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,4,0.03
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,48,0.02
38.47.120.61,17292,443,true,HKG,Asia Pacific,Hong Kong,2,0.02
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,7,0.00
157.254.32.25,32281,443,true,HKG,Asia Pacific,Hong Kong,34,0.00
178.173.237.166,30809,80,false,HKG,Asia Pacific,Hong Kong,8,0.00
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,4,0.00
157.254.32.25,56787,443,true,HKG,Asia Pacific,Hong Kong,29,0.00
