IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
210.87.195.19,11564,443,true,ICN,Asia Pacific,Seoul,76,1.12
146.56.166.32,2053,443,true,ICN,Asia Pacific,Seoul,1,0.55
140.238.1.158,443,443,true,ICN,Asia Pacific,Seoul,95,0.49
185.214.103.86,57569,443,true,ICN,Asia Pacific,Seoul,63,0.47
59.3.3.161,443,443,true,ICN,Asia Pacific,Seoul,106,0.39
59.187.242.236,13322,443,true,ICN,Asia Pacific,Seoul,0,0.22
49.128.218.194,35204,443,true,ICN,Asia Pacific,Seoul,0,0.17
59.187.242.236,39710,443,true,ICN,Asia Pacific,Seoul,0,0.15
59.187.242.236,14661,443,true,ICN,Asia Pacific,Seoul,1,0.15
59.187.242.236,37986,443,true,ICN,Asia Pacific,Seoul,1,0.15
59.187.242.236,34933,443,true,ICN,Asia Pacific,Seoul,1,0.14
59.187.242.236,11889,443,true,ICN,Asia Pacific,Seoul,0,0.09
59.187.242.236,14402,443,true,ICN,Asia Pacific,Seoul,1,0.04
4.218.12.51,443,443,true,ICN,Asia Pacific,Seoul,0,0.00
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,0,0.00
59.187.242.236,10653,443,true,ICN,Asia Pacific,Seoul,0,0.00
