IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.21.85.62,22353,443,true,LAX,North America,Los Angeles,178,15.50
154.17.229.17,36342,443,true,LAX,North America,Los Angeles,179,14.18
154.17.226.32,62096,443,true,LAX,North America,Los Angeles,546,13.84
154.17.22.88,30861,443,true,LAX,North America,Los Angeles,363,11.68
154.17.224.30,11946,443,true,LAX,North America,Los Angeles,1,11.43
154.21.87.49,443,443,true,LAX,North America,Los Angeles,192,11.07
154.21.95.60,39405,443,true,LAX,North America,Los Angeles,171,10.66
154.17.27.8,48655,443,true,LAX,North America,Los Angeles,2,10.62
154.17.227.69,10000,443,true,LAX,North America,Los Angeles,171,10.61
154.21.90.125,24277,443,true,LAX,North America,Los Angeles,2,10.17
154.17.230.212,54718,443,true,LAX,North America,Los Angeles,373,9.98
154.17.17.16,38651,443,true,LAX,North America,Los Angeles,351,9.96
23.166.168.86,13283,443,true,LAX,North America,Los Angeles,4,9.73
202.91.35.9,20443,443,true,LAX,North America,Los Angeles,366,9.52
154.21.95.60,20762,443,true,LAX,North America,Los Angeles,171,8.87
154.17.224.138,443,443,true,LAX,North America,Los Angeles,523,8.79
23.165.40.119,443,443,true,LAX,North America,Los Angeles,1,8.71
154.21.83.67,13353,443,true,LAX,North America,Los Angeles,190,8.44
38.207.171.169,41822,443,true,LAX,North America,Los Angeles,180,8.36
154.9.241.153,31082,443,true,LAX,North America,Los Angeles,2,8.26
23.166.168.219,43636,443,true,LAX,North America,Los Angeles,190,8.25
154.17.230.102,50885,443,true,LAX,North America,Los Angeles,367,8.12
206.119.79.166,34237,2096,true,LAX,North America,Los Angeles,187,8.00
207.60.50.167,46652,443,true,LAX,North America,Los Angeles,372,7.95
154.9.238.163,20003,443,true,LAX,North America,Los Angeles,538,7.89
154.9.237.219,26884,443,true,LAX,North America,Los Angeles,193,7.70
45.12.88.150,3443,443,true,LAX,North America,Los Angeles,176,7.66
154.23.244.100,56529,443,true,LAX,North America,Los Angeles,543,7.62
154.21.93.124,14280,443,true,LAX,North America,Los Angeles,184,7.62
38.207.171.169,38835,443,true,LAX,North America,Los Angeles,175,7.56
38.207.129.191,20665,443,true,LAX,North America,Los Angeles,181,7.56
38.207.171.150,34237,2096,true,LAX,North America,Los Angeles,345,7.55
154.17.27.80,18711,443,true,LAX,North America,Los Angeles,1,7.42
154.9.241.183,16356,443,true,LAX,North America,Los Angeles,177,7.41
154.17.19.18,30684,443,true,LAX,North America,Los Angeles,185,7.27
23.165.248.187,28749,443,true,LAX,North America,Los Angeles,370,7.22
2.59.151.85,35666,443,true,LAX,North America,Los Angeles,374,7.21
38.150.3.43,22379,443,true,LAX,North America,Los Angeles,193,7.21
154.29.150.2,8080,443,true,LAX,North America,Los Angeles,192,7.18
207.60.50.14,8443,443,true,LAX,North America,Los Angeles,372,7.17
207.60.50.24,8443,443,true,LAX,North America,Los Angeles,176,7.11
23.169.184.179,57812,443,true,LAX,North America,Los Angeles,178,7.10
154.9.233.228,14391,443,true,LAX,North America,Los Angeles,4,7.09
2.59.151.232,15110,443,true,LAX,North America,Los Angeles,190,7.02
154.21.95.60,20881,443,true,LAX,North America,Los Angeles,4,6.93
38.60.89.113,29792,443,true,LAX,North America,Los Angeles,189,6.92
38.207.171.169,17955,443,true,LAX,North America,Los Angeles,2,6.84
38.207.171.169,46174,443,true,LAX,North America,Los Angeles,182,6.82
154.21.86.70,16016,443,true,LAX,North America,Los Angeles,171,6.55
23.166.168.67,13117,443,true,LAX,North America,Los Angeles,349,6.41
23.169.184.179,29147,443,true,LAX,North America,Los Angeles,179,6.28
38.207.129.249,30935,443,true,LAX,North America,Los Angeles,349,6.15
206.119.79.135,32926,443,true,LAX,North America,Los Angeles,188,6.05
206.237.117.14,443,443,true,LAX,North America,Los Angeles,1,6.02
154.9.241.101,17573,443,true,LAX,North America,Los Angeles,371,5.95
154.17.9.35,882,443,true,LAX,North America,Los Angeles,176,5.86
154.17.231.85,24002,443,true,LAX,North America,Los Angeles,176,5.80
154.17.23.14,17288,443,true,LAX,North America,Los Angeles,374,5.76
154.23.255.85,59217,443,true,LAX,North America,Los Angeles,193,5.71
154.29.146.22,44631,443,true,LAX,North America,Los Angeles,398,5.66
23.165.40.176,57321,443,true,LAX,North America,Los Angeles,190,5.66
23.158.136.27,18566,443,true,LAX,North America,Los Angeles,376,5.30
216.38.168.196,41118,443,true,LAX,North America,Los Angeles,601,5.29
185.238.248.71,56918,443,true,LAX,North America,Los Angeles,2,5.21
154.26.238.144,57092,443,true,LAX,North America,Los Angeles,6,5.17
154.29.146.22,41335,443,true,LAX,North America,Los Angeles,188,5.11
38.60.89.147,34237,2096,true,LAX,North America,Los Angeles,180,4.72
38.150.3.43,28264,443,true,LAX,North America,Los Angeles,199,4.63
154.17.23.129,13551,443,true,LAX,North America,Los Angeles,190,4.36
154.9.251.214,34237,2096,true,LAX,North America,Los Angeles,191,4.17
154.29.144.83,12317,2095,false,LAX,North America,Los Angeles,171,4.01
2.56.255.97,34237,2096,true,LAX,North America,Los Angeles,190,3.79
38.150.3.43,52654,443,true,LAX,North America,Los Angeles,193,3.75
154.17.1.71,4403,443,true,LAX,North America,Los Angeles,176,3.74
2.59.151.136,22091,443,true,LAX,North America,Los Angeles,363,3.74
154.17.30.93,443,443,true,LAX,North America,Los Angeles,1,3.70
103.99.115.232,1443,443,true,LAX,North America,Los Angeles,370,3.69
