IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
46.3.103.181,48376,443,true,NRT,Asia Pacific,Tokyo,4,24.86
46.3.102.71,38000,443,true,NRT,Asia Pacific,Tokyo,4,16.66
46.3.102.71,37044,443,true,NRT,Asia Pacific,Tokyo,77,16.63
46.3.103.170,56856,443,true,NRT,Asia Pacific,Tokyo,72,15.30
46.3.102.71,36000,443,true,NRT,Asia Pacific,Tokyo,82,12.68
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,5,12.28
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,4,11.83
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,4,10.71
46.3.100.109,15456,443,true,NRT,Asia Pacific,Tokyo,81,9.96
8.219.66.156,2082,2082,false,NRT,Asia Pacific,Tokyo,1,9.25
47.236.125.62,80,80,false,NRT,Asia Pacific,Tokyo,2,8.23
147.78.242.219,56062,443,true,NRT,Asia Pacific,Tokyo,10,7.31
60.205.0.210,80,80,false,NRT,Asia Pacific,Tokyo,1,6.70
45.94.68.215,59340,443,true,NRT,Asia Pacific,Tokyo,7,6.25
8.140.56.136,80,80,false,NRT,Asia Pacific,Tokyo,10,5.86
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,1,5.24
89.213.184.54,24620,443,true,NRT,Asia Pacific,Tokyo,8,5.07
8.219.66.156,2095,2095,false,NRT,Asia Pacific,Tokyo,4,4.73
210.87.195.58,25503,443,true,ICN,Asia Pacific,Seoul,3,2.89
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,6,2.46
8.219.66.156,2053,2053,true,NRT,Asia Pacific,Tokyo,4,2.41
45.66.129.8,1233,443,true,NRT,Asia Pacific,Tokyo,79,2.33
210.87.195.139,26439,443,true,NRT,Asia Pacific,Tokyo,2,1.57
210.87.195.19,52240,443,true,NRT,Asia Pacific,Tokyo,4,1.07
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,1,1.04
147.78.247.231,50042,443,true,NRT,Asia Pacific,Tokyo,0,1.00
147.78.243.70,21832,443,true,NRT,Asia Pacific,Tokyo,2,1.00
46.3.103.160,15456,443,true,NRT,Asia Pacific,Tokyo,78,0.94
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,4,0.85
176.119.150.174,1111,443,true,NRT,Asia Pacific,Tokyo,0,0.76
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,0,0.66
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,4,0.62
46.3.103.181,33319,443,true,NRT,Asia Pacific,Tokyo,0,0.61
59.187.242.236,25559,443,true,ICN,Asia Pacific,Seoul,1,0.52
46.3.103.181,17164,443,true,NRT,Asia Pacific,Tokyo,1,0.41
59.187.242.236,22557,443,true,NRT,Asia Pacific,Tokyo,2,0.37
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,1,0.35
185.184.223.19,59775,443,true,NRT,Asia Pacific,Tokyo,191,0.34
48.218.110.214,8443,443,true,NRT,Asia Pacific,Tokyo,7,0.26
8.219.66.156,80,80,false,NRT,Asia Pacific,Tokyo,0,0.25
172.93.220.153,12345,80,false,NRT,Asia Pacific,Tokyo,1,0.23
48.218.110.214,2053,443,true,NRT,Asia Pacific,Tokyo,5,0.22
109.107.137.56,19358,443,true,NRT,Asia Pacific,Tokyo,197,0.18
109.107.137.56,38782,443,true,NRT,Asia Pacific,Tokyo,196,0.17
45.159.48.192,12212,443,true,NRT,Asia Pacific,Tokyo,7,0.14
193.111.31.133,50896,443,true,NRT,Asia Pacific,Tokyo,5,0.12
45.60.186.91,2082,2082,false,NRT,Asia Pacific,Tokyo,1,0.10
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,1,0.09
45.60.186.91,443,443,true,NRT,Asia Pacific,Tokyo,2,0.09
45.60.186.91,2052,2052,false,NRT,Asia Pacific,Tokyo,4,0.08
176.119.148.14,57956,443,true,NRT,Asia Pacific,Tokyo,0,0.08
206.237.127.54,43769,443,true,NRT,Asia Pacific,Tokyo,75,0.07
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,10,0.01
45.142.166.55,22387,80,false,NRT,Asia Pacific,Tokyo,2,0.00
101.36.113.25,52080,80,false,NRT,Asia Pacific,Tokyo,0,0.00
103.232.213.26,57610,443,true,NRT,Asia Pacific,Tokyo,2,0.00
103.27.79.13,33333,443,true,NRT,Asia Pacific,Tokyo,1,0.00
140.238.29.117,443,80,false,NRT,Asia Pacific,Tokyo,9,0.00
38.207.130.33,50045,443,true,NRT,Asia Pacific,Tokyo,0,0.00
154.12.191.87,30810,80,false,NRT,Asia Pacific,Tokyo,0,0.00
46.3.100.40,30064,443,true,NRT,Asia Pacific,Tokyo,2,0.00
45.142.166.55,22388,443,true,NRT,Asia Pacific,Tokyo,4,0.00
