IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,1,14.81
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,5,14.30
157.254.32.150,50100,443,true,SIN,Asia Pacific,Singapore,36,13.97
8.222.237.131,2083,2083,true,SIN,Asia Pacific,Singapore,1,13.95
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,1,13.74
8.222.184.198,2086,2086,false,SIN,Asia Pacific,Singapore,1,13.33
47.237.95.13,2086,2086,false,SIN,Asia Pacific,Singapore,6,12.61
47.237.95.13,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.30
47.236.9.152,80,80,false,SIN,Asia Pacific,Singapore,3,12.28
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,1,12.24
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,5,12.02
47.236.93.176,2095,2095,false,SIN,Asia Pacific,Singapore,1,11.74
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,1,11.30
47.236.93.176,2086,2086,false,SIN,Asia Pacific,Singapore,4,11.29
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,5,11.28
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,211,11.07
8.219.104.37,2087,2087,true,SIN,Asia Pacific,Singapore,2,11.06
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,210,10.92
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,1,10.91
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,2,10.90
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,1,10.80
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,2,10.73
47.236.254.120,8080,8080,false,SIN,Asia Pacific,Singapore,1,10.70
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,3,10.66
47.236.180.51,2082,2082,false,SIN,Asia Pacific,Singapore,2,10.65
47.237.92.26,8880,8880,false,SIN,Asia Pacific,Singapore,7,10.57
47.237.81.112,8080,8080,false,SIN,Asia Pacific,Singapore,2,10.53
47.236.169.141,2052,2052,false,SIN,Asia Pacific,Singapore,2,10.39
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,4,10.31
8.222.184.198,8080,8080,false,SIN,Asia Pacific,Singapore,6,10.27
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,2,9.74
47.236.180.51,80,80,false,SIN,Asia Pacific,Singapore,1,9.73
8.219.191.40,2087,2087,true,SIN,Asia Pacific,Singapore,4,9.64
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,1,9.44
47.236.145.85,2052,2052,false,SIN,Asia Pacific,Singapore,2,9.39
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,1,9.38
47.236.180.51,2086,2086,false,SIN,Asia Pacific,Singapore,1,9.29
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,215,9.29
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,228,8.83
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,7,8.78
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,5,8.75
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,216,8.61
47.236.150.13,2095,2095,false,SIN,Asia Pacific,Singapore,7,8.60
8.219.104.37,2053,2053,true,SIN,Asia Pacific,Singapore,4,8.31
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,6,8.18
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,2,8.11
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,3,7.71
8.219.104.37,2082,2082,false,SIN,Asia Pacific,Singapore,2,7.60
8.222.184.198,2082,2082,false,SIN,Asia Pacific,Singapore,1,7.36
8.219.189.143,8880,8880,false,SIN,Asia Pacific,Singapore,5,7.33
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,4,7.04
8.219.191.40,2052,2052,false,SIN,Asia Pacific,Singapore,2,6.61
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,5,6.53
8.222.165.117,2086,2086,false,SIN,Asia Pacific,Singapore,1,6.52
47.236.170.225,8880,8880,false,SIN,Asia Pacific,Singapore,5,6.24
8.219.104.37,2052,2052,false,SIN,Asia Pacific,Singapore,5,6.19
8.222.184.198,80,80,false,SIN,Asia Pacific,Singapore,1,6.11
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,1,6.04
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,1,5.94
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,4,5.62
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,12,5.61
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,3,5.47
47.236.172.95,8080,8080,false,SIN,Asia Pacific,Singapore,5,5.34
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,1,5.32
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,5,5.22
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,2,5.20
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,4,5.08
8.219.191.40,8080,8080,false,SIN,Asia Pacific,Singapore,2,4.89
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,1,4.78
8.219.191.110,2086,2086,false,SIN,Asia Pacific,Singapore,1,4.73
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,5,4.66
47.236.17.193,8080,8080,false,SIN,Asia Pacific,Singapore,3,4.60
47.237.0.31,8880,8880,false,SIN,Asia Pacific,Singapore,2,4.52
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,1,4.12
47.237.121.38,8880,8880,false,SIN,Asia Pacific,Singapore,2,3.96
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,1,3.87
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,1,3.84
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,1,3.72
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,1,3.51
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,11,3.40
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,7,3.14
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,4,3.04
8.222.165.117,2082,2082,false,SIN,Asia Pacific,Singapore,1,2.94
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,2,2.92
47.236.170.225,8080,8080,false,SIN,Asia Pacific,Singapore,6,2.79
47.236.195.221,443,443,true,SIN,Asia Pacific,Singapore,12,2.77
47.236.197.190,8443,443,true,SIN,Asia Pacific,Singapore,12,2.74
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,2,2.67
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,2,2.61
