IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
37.123.193.163,101,443,true,SJC,North America,San Jose,2,16.35
185.148.13.32,10005,443,true,SJC,North America,San Jose,171,11.62
103.136.185.15,27536,443,true,SJC,North America,San Jose,168,11.13
37.123.193.187,149,443,true,SJC,North America,San Jose,13,10.53
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,2,10.41
37.123.193.187,134,443,true,SJC,North America,San Jose,13,8.66
37.123.192.172,443,443,true,SJC,North America,San Jose,1,8.49
38.59.241.77,56470,443,true,SJC,North America,San Jose,164,8.11
37.123.193.228,19220,443,true,SJC,North America,San Jose,1,5.78
38.59.249.179,18090,443,true,SJC,North America,San Jose,13,5.60
38.59.240.180,43215,443,true,SJC,North America,San Jose,3,5.59
38.59.240.180,47403,443,true,SJC,North America,San Jose,1,4.26
192.18.134.28,443,443,true,SJC,North America,San Jose,9,2.98
43.135.129.74,443,443,true,SJC,North America,San Jose,12,2.87
43.153.119.207,443,443,true,SJC,North America,San Jose,13,2.61
184.169.181.217,443,443,true,SJC,North America,San Jose,2,2.04
155.248.202.141,443,443,true,SJC,North America,San Jose,13,1.62
65.75.192.67,42930,443,true,SJC,North America,San Jose,6,1.46
185.218.7.199,2024,443,true,SJC,North America,San Jose,167,1.10
65.75.192.120,29721,443,true,SJC,North America,San Jose,9,0.42
47.57.245.232,443,443,true,SJC,North America,San Jose,9,0.30
65.75.194.43,10511,443,true,SJC,North America,San Jose,13,0.21
23.94.98.225,30930,443,true,SJC,North America,San Jose,9,0.14
65.75.195.188,50795,443,true,SJC,North America,San Jose,8,0.09
23.94.208.154,53485,443,true,SJC,North America,San Jose,0,0.08
23.94.240.119,443,443,true,SJC,North America,San Jose,4,0.08
13.87.188.67,443,443,true,SJC,North America,San Jose,4,0.07
65.75.194.96,23190,443,true,SJC,North America,San Jose,9,0.04
192.210.231.33,18091,2053,true,SJC,North America,San Jose,2,0.03
107.172.103.195,16085,443,true,SJC,North America,San Jose,1,0.02
107.172.103.195,16020,443,true,SJC,North America,San Jose,2,0.02
107.172.103.195,16067,443,true,SJC,North America,San Jose,1,0.02
107.172.103.195,16094,443,true,SJC,North America,San Jose,2,0.02
107.172.103.195,16014,443,true,SJC,North America,San Jose,1,0.02
173.249.207.151,443,443,true,SJC,North America,San Jose,1,0.02
107.172.103.195,16030,443,true,SJC,North America,San Jose,1,0.02
107.172.103.195,16009,443,true,SJC,North America,San Jose,1,0.02
107.172.103.195,16052,443,true,SJC,North America,San Jose,0,0.02
107.172.103.195,16061,443,true,SJC,North America,San Jose,2,0.01
47.57.233.126,443,443,true,SJC,North America,San Jose,1,0.01
65.75.192.35,22857,443,true,SJC,North America,San Jose,6,0.01
107.172.103.195,16077,443,true,SJC,North America,San Jose,1,0.01
13.56.200.223,80,443,true,SJC,North America,San Jose,10,0.00
65.75.193.21,37813,443,true,SJC,North America,San Jose,1,0.00
107.172.103.195,16090,443,true,SJC,North America,San Jose,1,0.00
107.172.103.195,16021,443,true,SJC,North America,San Jose,1,0.00
192.9.250.241,443,443,true,SJC,North America,San Jose,1,0.00
54.153.96.188,80,443,true,SJC,North America,San Jose,12,0.00
107.172.103.195,16001,443,true,SJC,North America,San Jose,1,0.00
13.56.59.26,80,443,true,SJC,North America,San Jose,1,0.00
52.53.199.8,80,443,true,SJC,North America,San Jose,9,0.00
54.153.85.10,80,443,true,SJC,North America,San Jose,12,0.00
107.172.103.195,16045,443,true,SJC,North America,San Jose,6,0.00
107.172.103.195,16072,443,true,SJC,North America,San Jose,2,0.00
13.56.207.185,80,443,true,SJC,North America,San Jose,2,0.00
54.177.197.172,80,443,true,SJC,North America,San Jose,12,0.00
54.219.130.94,80,443,true,SJC,North America,San Jose,0,0.00
54.183.53.183,80,443,true,SJC,North America,San Jose,2,0.00
