IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
163.53.246.152,27013,true,HKG,Asia Pacific,Hong Kong,76 ms,12735 kB/s
163.53.246.152,27043,true,HKG,Asia Pacific,Hong Kong,78 ms,12362 kB/s
163.53.246.152,31005,true,HKG,Asia Pacific,Hong Kong,77 ms,12308 kB/s
103.94.185.165,23429,true,LAX,North America,Los Angeles,174 ms,7010 kB/s
154.194.64.130,9888,true,LYS,Europe,Lyon,82 ms,6996 kB/s
154.194.64.135,9888,true,LYS,Europe,Lyon,73 ms,6885 kB/s
217.20.241.36,17826,true,LAX,North America,Los Angeles,202 ms,5727 kB/s
154.197.92.77,9888,true,MXP,Europe,Milan,75 ms,5452 kB/s
149.104.34.211,9888,true,LYS,Europe,Lyon,92 ms,5307 kB/s
149.104.34.28,9888,true,MXP,Europe,Milan,87 ms,5164 kB/s
154.197.92.82,9888,true,MXP,Europe,Milan,79 ms,5143 kB/s
154.194.64.137,9888,true,MXP,Europe,Milan,87 ms,5131 kB/s
154.197.92.91,9888,true,LYS,Europe,Lyon,79 ms,5098 kB/s
149.104.35.59,9888,true,MXP,Europe,Milan,83 ms,5011 kB/s
149.104.35.124,9888,true,CDG,Europe,Paris,83 ms,4975 kB/s
154.197.92.80,9888,true,MXP,Europe,Milan,74 ms,4932 kB/s
149.104.35.105,9888,true,CDG,Europe,Paris,90 ms,4929 kB/s
149.104.35.92,9888,true,LYS,Europe,Lyon,71 ms,4929 kB/s
154.197.92.70,9888,true,CDG,Europe,Paris,74 ms,4911 kB/s
149.104.35.88,9888,true,MXP,Europe,Milan,75 ms,4833 kB/s
149.104.35.4,9888,true,MXP,Europe,Milan,70 ms,4775 kB/s
149.104.35.110,9888,true,MXP,Europe,Milan,90 ms,4577 kB/s
217.20.241.120,25086,true,LAX,North America,Los Angeles,191 ms,4505 kB/s
154.197.92.73,9888,true,CDG,Europe,Paris,74 ms,4481 kB/s
149.104.35.103,9888,true,CDG,Europe,Paris,84 ms,4453 kB/s
149.104.35.55,9888,true,LYS,Europe,Lyon,73 ms,4437 kB/s
154.197.92.88,9888,true,MXP,Europe,Milan,74 ms,4322 kB/s
154.197.92.66,9888,true,LYS,Europe,Lyon,83 ms,4308 kB/s
149.104.35.70,9888,true,MXP,Europe,Milan,69 ms,4261 kB/s
149.104.34.214,9888,true,MXP,Europe,Milan,72 ms,4183 kB/s
149.104.35.2,9888,true,MXP,Europe,Milan,75 ms,4172 kB/s
149.104.35.98,9888,true,LYS,Europe,Lyon,85 ms,4168 kB/s
154.197.92.115,9888,true,LYS,Europe,Lyon,73 ms,4098 kB/s
149.104.35.90,9888,true,MXP,Europe,Milan,89 ms,4018 kB/s
149.104.35.72,9888,true,LYS,Europe,Lyon,72 ms,3932 kB/s
149.104.35.111,9888,true,MXP,Europe,Milan,91 ms,3896 kB/s
149.104.34.213,9888,true,MXP,Europe,Milan,73 ms,3861 kB/s
149.104.35.123,9888,true,MXP,Europe,Milan,77 ms,3807 kB/s
149.104.35.108,9888,true,CDG,Europe,Paris,78 ms,3804 kB/s
154.194.64.131,9888,true,MXP,Europe,Milan,74 ms,3801 kB/s
149.104.35.115,9888,true,LYS,Europe,Lyon,80 ms,3755 kB/s
149.104.35.71,9888,true,LYS,Europe,Lyon,78 ms,3753 kB/s
103.99.179.39,443,true,LAX,North America,Los Angeles,181 ms,3740 kB/s
149.104.35.106,9888,true,MXP,Europe,Milan,72 ms,3720 kB/s
